task_id,task_type,priority,offset_ms,submit_ms,start_ms,end_ms,latency_ms,status,worker,exec_ms
mixed-42-00162,GRAPH_TASK,7,47892,47907,48000,48000,93,COMPLETED,worker-1,66
mixed-42-00163,FILE_IO_TASK,1,47920,47939,48002,48002,63,COMPLETED,worker-1,15
mixed-42-00164,SLEEP_TASK,5,48035,48038,48107,48885,847,COMPLETED,worker-1,727
mixed-42-00165,FILE_IO_TASK,4,48054,48057,48109,48109,52,COMPLETED,worker-1,19
mixed-42-00166,MONTE_CARLO_TASK,9,48248,48254,48323,48432,178,COMPLETED,worker-1,154
mixed-42-00167,COMPRESS_TASK,6,48248,48268,48324,48434,166,COMPLETED,worker-1,83
mixed-42-00168,HASH_TASK,8,48253,48279,48326,48437,158,COMPLETED,worker-1,53
mixed-42-00169,GRAPH_TASK,10,48550,48560,48646,48646,86,COMPLETED,worker-1,60
mixed-42-00170,MATRIX_TASK,7,48597,48603,48649,48649,46,COMPLETED,worker-1,32
mixed-42-00171,GRAPH_TASK,3,48666,48675,48768,48768,93,COMPLETED,worker-1,56
mixed-42-00172,COMPRESS_TASK,2,48748,48754,48778,48990,236,COMPLETED,worker-1,151
mixed-42-00173,CPU_TASK,1,48894,48897,48992,48992,95,COMPLETED,worker-1,1
mixed-42-00174,GRAPH_TASK,2,48945,48948,48993,48993,45,COMPLETED,worker-1,7
mixed-42-00175,SLEEP_TASK,3,49009,49012,49107,49228,216,COMPLETED,worker-1,122
mixed-42-00176,HASH_TASK,10,49012,49016,49111,49111,95,COMPLETED,worker-1,3
mixed-42-00177,CPU_TASK,6,49131,49139,49230,49230,91,COMPLETED,worker-1,19
mixed-42-00178,SLEEP_TASK,5,49209,49213,49235,49555,342,COMPLETED,worker-1,279
mixed-42-00179,MONTE_CARLO_TASK,6,49252,49263,49340,49445,182,COMPLETED,worker-1,97
mixed-42-00180,MONTE_CARLO_TASK,1,49360,49364,49447,49447,83,COMPLETED,worker-1,19
mixed-42-00181,GRAPH_TASK,5,49446,49450,49557,49557,107,COMPLETED,worker-1,31
mixed-42-00182,HTTP_TASK,9,49506,49508,49558,49663,155,COMPLETED,worker-1,97
mixed-42-00183,GRAPH_TASK,4,49599,49617,49666,49666,49,COMPLETED,worker-1,8
mixed-42-00184,CPU_TASK,3,49714,49718,49773,49773,55,COMPLETED,worker-1,2
mixed-42-00185,GRAPH_TASK,10,49783,49789,49877,49877,88,COMPLETED,worker-1,42
mixed-42-00186,GRAPH_TASK,9,50093,50108,50211,50211,103,COMPLETED,worker-1,16
mixed-42-00187,HASH_TASK,6,50135,50138,50212,50212,74,COMPLETED,worker-1,4
mixed-42-00188,MONTE_CARLO_TASK,10,50150,50159,50213,50322,163,COMPLETED,worker-1,122
mixed-42-00189,SLEEP_TASK,10,50186,50190,50215,50565,375,COMPLETED,worker-1,265
